payment_id,order_id,payment_method,payment_status,payment_date
53,53,Credit Card,Completed,2024-01-28
54,54,Net Banking,Completed,2025-10-31
55,55,Credit Card,Failed,2026-03-13
56,56,Credit Card,Completed,2026-02-03
57,57,COD,Completed,2024-12-23
58,58,UPI,Completed,2024-06-04
59,59,COD,Failed,2024-01-14
60,60,Debit Card,Completed,2026-03-17
61,61,UPI,Completed,2025-03-10
62,62,Credit Card,Completed,2024-02-03
63,63,UPI,Completed,2025-12-13
64,64,COD,Completed,2024-08-31
65,65,UPI,Completed,2024-02-11
66,66,Credit Card,Completed,2025-09-17
67,67,Debit Card,Completed,2024-01-14
68,68,Net Banking,Completed,2024-07-24
69,69,Net Banking,Completed,2026-05-11
70,70,UPI,Completed,2024-05-15
71,71,UPI,Completed,2025-05-24
72,72,COD,Failed,2024-07-08
73,73,COD,Failed,2025-08-11
74,74,COD,Completed,2025-03-16
75,75,Debit Card,Completed,2024-05-12
76,76,Credit Card,Completed,2025-08-05
77,77,UPI,Completed,2024-05-18
78,78,UPI,Completed,2024-02-14
79,79,UPI,Completed,2024-02-24
80,80,Net Banking,Completed,2025-11-17
81,81,UPI,Completed,2025-12-18
82,82,Credit Card,Completed,2024-02-16
83,83,Debit Card,Completed,2024-04-22
84,84,UPI,Completed,2024-07-07
85,85,COD,Completed,2025-02-17
86,86,Net Banking,Failed,2024-10-14
87,87,Debit Card,Completed,2024-09-07
88,88,UPI,Completed,2024-12-21
89,89,Credit Card,Failed,2024-05-06
90,90,Debit Card,Completed,2025-10-11
91,91,Net Banking,Completed,2026-05-07
92,92,Credit Card,Failed,2026-05-30
93,93,UPI,Failed,2026-05-02
94,94,Debit Card,Failed,2024-01-28
95,95,UPI,Completed,2025-08-27
96,96,Debit Card,Completed,2025-11-04
97,97,UPI,Completed,2025-06-27
98,98,COD,Completed,2025-04-05
99,99,UPI,Completed,2026-01-29
100,100,COD,Completed,2024-01-18
101,101,Credit Card,Completed,2025-10-04
102,102,Net Banking,Failed,2024-06-01
103,103,Credit Card,Failed,2024-02-09
104,104,Credit Card,Completed,2025-12-11
105,105,Net Banking,Completed,2026-03-06
106,106,UPI,Completed,2025-08-22
107,107,Debit Card,Completed,2025-05-19
108,108,Credit Card,Failed,2024-04-13
109,109,UPI,Completed,2024-01-26
110,110,UPI,Completed,2024-10-05
111,111,COD,Completed,2024-05-28
112,112,Net Banking,Completed,2024-07-31
113,113,UPI,Completed,2024-12-24
114,114,Credit Card,Failed,2025-09-09
115,115,Credit Card,Failed,2024-05-18
116,116,Debit Card,Completed,2024-06-16
117,117,COD,Completed,2025-06-09
118,118,UPI,Completed,2024-02-25
119,119,COD,Completed,2026-01-01
120,120,Net Banking,Completed,2024-04-21
121,121,COD,Completed,2025-06-14
122,122,COD,Completed,2024-11-17
123,123,Debit Card,Completed,2025-07-26
124,124,Net Banking,Completed,2024-07-24
125,125,COD,Completed,2024-03-04
126,126,Net Banking,Completed,2025-07-26
127,127,UPI,Completed,2025-04-26
128,128,UPI,Completed,2025-12-22
129,129,Debit Card,Failed,2024-05-04
130,130,UPI,Completed,2024-04-04
131,131,COD,Completed,2026-04-07
132,132,UPI,Completed,2024-07-22
133,133,Credit Card,Completed,2025-01-02
134,134,Debit Card,Failed,2024-05-13
135,135,Net Banking,Completed,2024-08-10
136,136,UPI,Completed,2026-05-26
137,137,COD,Completed,2024-05-31
138,138,UPI,Completed,2025-04-27
139,139,COD,Failed,2024-10-26
140,140,Net Banking,Completed,2024-05-28
141,141,Net Banking,Completed,2024-02-24
142,142,UPI,Completed,2024-07-22
143,143,UPI,Completed,2025-09-14
144,144,Debit Card,Completed,2026-04-27
145,145,Debit Card,Completed,2024-09-30
146,146,Net Banking,Failed,2025-08-16
147,147,Debit Card,Completed,2025-09-10
148,148,COD,Completed,2026-02-17
149,149,UPI,Failed,2025-12-01
150,150,Net Banking,Completed,2025-06-09
151,151,Net Banking,Completed,2024-04-26
152,152,COD,Completed,2024-02-10
153,153,COD,Failed,2025-12-03
154,154,Debit Card,Completed,2024-09-25
155,155,Net Banking,Completed,2024-02-15
156,156,Debit Card,Failed,2024-05-29
157,157,UPI,Completed,2026-04-01
158,158,Credit Card,Completed,2025-09-09
159,159,Credit Card,Completed,2025-06-08
160,160,Debit Card,Completed,2025-03-23
161,161,UPI,Completed,2024-01-12
162,162,UPI,Completed,2025-03-13
163,163,Credit Card,Completed,2024-07-28
164,164,Net Banking,Completed,2024-04-23
165,165,UPI,Completed,2025-11-15
166,166,Net Banking,Failed,2025-10-02
167,167,UPI,Failed,2025-05-16
168,168,Net Banking,Completed,2024-04-18
169,169,Debit Card,Completed,2025-10-07
170,170,COD,Completed,2026-05-14
171,171,COD,Failed,2025-07-01
172,172,Net Banking,Completed,2024-12-21
173,173,UPI,Completed,2024-11-19
174,174,UPI,Failed,2025-04-11
175,175,Net Banking,Completed,2026-03-15
176,176,UPI,Completed,2025-06-04
177,177,Credit Card,Failed,2024-09-19
178,178,Debit Card,Completed,2025-09-12
179,179,Debit Card,Completed,2024-12-13
180,180,Net Banking,Failed,2024-01-02
181,181,Net Banking,Failed,2025-09-14
182,182,Debit Card,Completed,2024-07-28
183,183,Credit Card,Completed,2024-04-21
184,184,Credit Card,Failed,2025-03-11
185,185,UPI,Completed,2025-11-17
186,186,Debit Card,Completed,2025-03-11
187,187,UPI,Completed,2025-02-02
188,188,Credit Card,Completed,2024-05-08
189,189,Credit Card,Completed,2025-06-27
190,190,Credit Card,Failed,2025-12-27
191,191,Net Banking,Failed,2025-05-17
192,192,Debit Card,Failed,2024-11-06
193,193,Net Banking,Completed,2024-06-05
194,194,Net Banking,Failed,2025-04-30
195,195,Credit Card,Completed,2024-09-22
196,196,Credit Card,Completed,2026-01-05
197,197,COD,Completed,2024-09-13
198,198,COD,Completed,2025-10-09
199,199,Net Banking,Completed,2025-01-06
200,200,COD,Completed,2024-03-31
201,201,Net Banking,Failed,2026-04-26
202,202,Credit Card,Completed,2026-04-06
203,203,Debit Card,Failed,2026-02-14
204,204,Net Banking,Completed,2024-08-03
205,205,Debit Card,Completed,2026-02-09
206,206,Debit Card,Completed,2024-07-20
207,207,UPI,Failed,2024-08-14
208,208,Credit Card,Completed,2026-01-22
209,209,Net Banking,Failed,2024-08-25
210,210,Credit Card,Completed,2026-05-21
211,211,Debit Card,Completed,2025-07-19
212,212,COD,Completed,2026-03-13
213,213,COD,Completed,2026-03-30
214,214,Debit Card,Completed,2024-01-10
215,215,COD,Completed,2024-04-15
216,216,COD,Completed,2025-09-14
217,217,COD,Completed,2024-09-06
218,218,Debit Card,Completed,2026-05-12
219,219,Credit Card,Completed,2025-01-23
220,220,UPI,Failed,2024-05-31
221,221,UPI,Failed,2025-10-22
222,222,Credit Card,Completed,2025-07-11
223,223,UPI,Completed,2024-04-09
224,224,Credit Card,Failed,2024-11-06
225,225,UPI,Completed,2024-07-16
226,226,COD,Completed,2024-05-05
227,227,Net Banking,Completed,2024-04-30
228,228,Credit Card,Failed,2026-01-13
229,229,UPI,Failed,2025-02-03
230,230,Debit Card,Completed,2024-02-11
231,231,Debit Card,Failed,2024-05-14
232,232,UPI,Completed,2024-01-25
233,233,UPI,Completed,2024-08-30
234,234,Credit Card,Completed,2025-12-03
235,235,UPI,Completed,2025-05-23
236,236,Credit Card,Completed,2025-06-03
237,237,Net Banking,Completed,2024-09-19
238,238,UPI,Failed,2026-04-19
239,239,Debit Card,Completed,2024-05-25
240,240,Net Banking,Completed,2024-05-18
241,241,UPI,Completed,2024-04-27
242,242,COD,Completed,2024-07-06
243,243,UPI,Failed,2025-01-20
244,244,Debit Card,Failed,2024-10-04
245,245,UPI,Failed,2025-04-15
246,246,Debit Card,Failed,2025-01-30
247,247,Credit Card,Completed,2025-05-05
248,248,Net Banking,Completed,2024-09-15
249,249,Net Banking,Failed,2024-07-12
250,250,COD,Completed,2026-01-06
251,251,UPI,Completed,2024-03-03
252,252,Net Banking,Failed,2024-08-24
253,253,Debit Card,Completed,2024-09-26
254,254,Debit Card,Completed,2025-02-06
255,255,Net Banking,Completed,2025-02-01
256,256,COD,Failed,2024-11-18
257,257,Net Banking,Completed,2026-02-19
258,258,Credit Card,Completed,2024-08-29
259,259,Debit Card,Completed,2024-10-29
260,260,UPI,Completed,2025-12-06
261,261,Debit Card,Completed,2024-01-31
262,262,Credit Card,Failed,2025-12-09
263,263,UPI,Completed,2024-09-17
264,264,Credit Card,Completed,2024-12-02
265,265,Credit Card,Completed,2026-02-02
266,266,UPI,Completed,2025-08-18
267,267,COD,Completed,2024-10-31
268,268,Debit Card,Completed,2024-04-23
269,269,Net Banking,Completed,2026-02-19
270,270,UPI,Completed,2024-01-01
271,271,Debit Card,Completed,2025-10-17
272,272,Credit Card,Failed,2025-09-07
273,273,Credit Card,Completed,2025-04-14
274,274,UPI,Completed,2026-01-19
275,275,UPI,Completed,2024-05-24
276,276,COD,Failed,2024-03-20
277,277,Credit Card,Completed,2025-01-14
278,278,UPI,Failed,2025-01-04
279,279,Net Banking,Completed,2025-01-04
280,280,Debit Card,Completed,2025-09-20
281,281,Net Banking,Failed,2024-10-29
282,282,Net Banking,Completed,2024-11-08
283,283,UPI,Completed,2026-04-01
284,284,Credit Card,Failed,2024-09-15
285,285,UPI,Failed,2024-03-20
286,286,UPI,Failed,2025-08-22
287,287,Credit Card,Failed,2025-09-05
288,288,UPI,Completed,2024-07-22
289,289,Net Banking,Completed,2025-05-06
290,290,UPI,Completed,2026-02-21
291,291,Credit Card,Failed,2024-10-02
292,292,COD,Failed,2024-06-24
293,293,UPI,Completed,2025-05-06
294,294,COD,Completed,2025-10-19
295,295,Debit Card,Completed,2025-02-27
296,296,COD,Completed,2025-12-14
297,297,COD,Completed,2024-12-18
298,298,Net Banking,Failed,2026-01-17
299,299,Debit Card,Completed,2024-02-29
300,300,Net Banking,Completed,2025-09-30
301,301,Credit Card,Completed,2025-05-05
302,302,Debit Card,Completed,2026-03-25
303,303,UPI,Completed,2025-10-31
304,304,UPI,Completed,2025-08-17
305,305,Debit Card,Failed,2025-09-09
306,306,Net Banking,Completed,2025-01-01
307,307,Net Banking,Completed,2025-11-14
308,308,Net Banking,Failed,2025-11-19
309,309,UPI,Completed,2025-07-26
310,310,COD,Completed,2025-03-08
311,311,COD,Completed,2024-07-19
312,312,Debit Card,Completed,2024-02-16
313,313,Debit Card,Completed,2025-04-21
314,314,Debit Card,Completed,2024-11-20
315,315,Credit Card,Failed,2024-06-27
316,316,COD,Failed,2024-06-04
317,317,UPI,Completed,2024-05-26
318,318,Credit Card,Completed,2024-05-11
319,319,Credit Card,Completed,2024-08-30
320,320,UPI,Completed,2025-10-11
321,321,COD,Failed,2024-11-23
322,322,Credit Card,Completed,2025-07-16
323,323,Debit Card,Completed,2024-07-14
324,324,COD,Completed,2024-09-28
325,325,Credit Card,Completed,2026-05-19
326,326,COD,Completed,2026-05-24
327,327,Debit Card,Completed,2025-01-30
328,328,Debit Card,Completed,2024-06-29
329,329,Debit Card,Failed,2024-07-02
330,330,Debit Card,Completed,2024-10-07
331,331,Debit Card,Completed,2025-07-21
332,332,Credit Card,Completed,2024-04-13
333,333,Credit Card,Completed,2025-10-10
334,334,Debit Card,Completed,2024-03-12
335,335,Net Banking,Failed,2024-07-18
336,336,UPI,Completed,2024-01-29
337,337,Net Banking,Completed,2025-08-21
338,338,COD,Completed,2025-08-08
339,339,Debit Card,Completed,2024-01-04
340,340,Credit Card,Completed,2024-04-19
341,341,Credit Card,Failed,2025-04-10
342,342,Debit Card,Completed,2024-01-23
343,343,Debit Card,Completed,2025-01-18
344,344,UPI,Completed,2025-09-22
345,345,Net Banking,Failed,2024-02-29
346,346,Debit Card,Completed,2024-05-23
347,347,UPI,Completed,2024-04-23
348,348,Net Banking,Completed,2025-04-26
349,349,Net Banking,Failed,2025-11-02
350,350,Net Banking,Completed,2026-01-08
351,351,Credit Card,Completed,2025-07-05
352,352,UPI,Completed,2026-01-18
353,353,Debit Card,Failed,2024-10-05
354,354,Net Banking,Failed,2024-11-27
355,355,Net Banking,Failed,2025-10-17
356,356,Net Banking,Completed,2025-03-19
357,357,Debit Card,Failed,2024-03-19
358,358,COD,Completed,2026-04-04
359,359,Net Banking,Completed,2024-04-04
360,360,UPI,Completed,2025-06-17
361,361,Credit Card,Completed,2026-02-12
362,362,Net Banking,Completed,2025-09-22
363,363,COD,Completed,2024-12-18
364,364,Net Banking,Failed,2024-01-12
365,365,Debit Card,Completed,2026-05-17
366,366,Net Banking,Completed,2026-03-06
367,367,COD,Completed,2025-04-24
368,368,Credit Card,Completed,2026-01-20
369,369,Credit Card,Completed,2024-08-23
370,370,Credit Card,Completed,2025-06-16
371,371,Credit Card,Completed,2025-04-05
372,372,Debit Card,Completed,2025-02-24
373,373,Debit Card,Completed,2024-12-19
374,374,UPI,Completed,2025-09-18
375,375,COD,Completed,2024-11-05
376,376,Net Banking,Completed,2025-06-23
377,377,Credit Card,Completed,2025-10-27
378,378,Credit Card,Completed,2024-07-30
379,379,Net Banking,Completed,2026-03-11
380,380,Net Banking,Failed,2025-07-04
381,381,UPI,Completed,2024-08-06
382,382,UPI,Failed,2025-03-17
383,383,UPI,Completed,2025-07-18
384,384,UPI,Completed,2025-09-26
385,385,COD,Completed,2024-06-28
386,386,Debit Card,Failed,2024-01-25
387,387,Credit Card,Failed,2024-09-18
388,388,Debit Card,Completed,2024-12-05
389,389,Credit Card,Completed,2025-04-25
390,390,UPI,Completed,2024-07-17
391,391,COD,Failed,2024-01-02
392,392,Credit Card,Completed,2026-01-14
393,393,UPI,Completed,2024-10-18
394,394,UPI,Completed,2026-02-24
395,395,Net Banking,Completed,2026-04-18
396,396,COD,Completed,2025-10-08
397,397,Net Banking,Completed,2024-03-14
398,398,COD,Completed,2024-04-21
399,399,COD,Failed,2024-05-21
400,400,Net Banking,Failed,2024-03-05
401,401,Debit Card,Completed,2024-11-30
402,402,COD,Completed,2025-06-08
403,403,COD,Failed,2026-01-23
404,404,COD,Failed,2026-01-05
405,405,Credit Card,Completed,2025-09-22
406,406,COD,Failed,2024-11-08
407,407,COD,Completed,2025-06-10
408,408,Debit Card,Completed,2024-11-27
409,409,COD,Failed,2025-11-14
410,410,Net Banking,Completed,2026-05-12
411,411,Credit Card,Failed,2024-04-04
412,412,Credit Card,Failed,2024-01-05
413,413,Debit Card,Failed,2024-05-02
414,414,Debit Card,Completed,2025-11-30
415,415,Debit Card,Failed,2025-11-09
416,416,Credit Card,Completed,2025-08-09
417,417,Debit Card,Completed,2025-08-18
418,418,Debit Card,Completed,2025-06-29
419,419,Debit Card,Completed,2026-05-17
420,420,Credit Card,Completed,2024-08-11
421,421,Net Banking,Completed,2024-02-09
422,422,Credit Card,Completed,2024-11-07
423,423,Net Banking,Completed,2024-12-04
424,424,COD,Completed,2025-03-11
425,425,Credit Card,Completed,2024-09-21
426,426,Debit Card,Failed,2026-02-17
427,427,Credit Card,Completed,2025-01-26
428,428,UPI,Completed,2026-01-09
429,429,Credit Card,Failed,2025-05-02
430,430,Credit Card,Failed,2025-06-10
431,431,COD,Completed,2025-08-04
432,432,Credit Card,Failed,2026-01-30
433,433,Net Banking,Completed,2025-09-01
434,434,Debit Card,Completed,2024-01-10
435,435,COD,Completed,2026-01-27
436,436,Debit Card,Completed,2025-10-08
437,437,Net Banking,Completed,2026-04-20
438,438,UPI,Completed,2025-01-22
439,439,Credit Card,Completed,2026-04-10
440,440,UPI,Completed,2026-01-15
441,441,UPI,Completed,2025-09-15
442,442,Net Banking,Completed,2024-01-27
443,443,Credit Card,Failed,2025-07-14
444,444,Debit Card,Completed,2024-08-23
445,445,Credit Card,Failed,2024-03-30
446,446,Credit Card,Completed,2024-03-17
447,447,Net Banking,Failed,2025-10-16
448,448,UPI,Completed,2025-04-06
449,449,Debit Card,Completed,2024-01-31
450,450,Debit Card,Completed,2026-02-20
451,451,UPI,Completed,2025-11-27
452,452,COD,Failed,2025-01-10
453,453,Net Banking,Completed,2025-04-26
454,454,Debit Card,Completed,2025-07-11
455,455,Net Banking,Failed,2026-02-10
456,456,Debit Card,Failed,2025-07-31
457,457,COD,Completed,2024-12-24
458,458,Net Banking,Failed,2026-01-05
459,459,Credit Card,Completed,2026-01-20
460,460,Debit Card,Completed,2024-03-19
461,461,UPI,Completed,2026-02-08
462,462,Credit Card,Completed,2024-10-21
463,463,UPI,Completed,2025-04-08
464,464,UPI,Completed,2024-03-24
465,465,UPI,Failed,2025-01-31
466,466,COD,Failed,2026-04-16
467,467,UPI,Failed,2024-05-17
468,468,COD,Failed,2024-11-27
469,469,UPI,Completed,2025-11-26
470,470,UPI,Completed,2025-04-15
471,471,Net Banking,Failed,2026-01-29
472,472,UPI,Completed,2025-10-05
473,473,Credit Card,Completed,2025-06-10
474,474,COD,Completed,2025-05-12
475,475,Debit Card,Completed,2024-12-26
476,476,COD,Completed,2024-05-11
477,477,Credit Card,Completed,2025-01-07
478,478,Debit Card,Completed,2026-04-25
479,479,COD,Completed,2024-12-10
480,480,COD,Completed,2024-03-10
481,481,COD,Completed,2025-04-17
482,482,Credit Card,Completed,2024-08-04
483,483,Credit Card,Completed,2025-10-10
484,484,Credit Card,Completed,2025-11-30
485,485,Net Banking,Completed,2025-09-02
486,486,COD,Failed,2024-09-12
487,487,UPI,Completed,2024-05-07
488,488,Net Banking,Completed,2024-12-30
489,489,Credit Card,Completed,2024-05-06
490,490,Debit Card,Failed,2024-09-17
491,491,COD,Failed,2024-12-22
492,492,Net Banking,Completed,2025-09-25
493,493,Net Banking,Failed,2024-01-21
494,494,COD,Failed,2024-07-03
495,495,Net Banking,Completed,2025-05-08
496,496,UPI,Completed,2026-03-28
497,497,Debit Card,Failed,2024-11-01
498,498,UPI,Completed,2025-01-28
499,499,Net Banking,Completed,2024-02-03
500,500,Debit Card,Completed,2024-02-11
501,501,Credit Card,Completed,2024-12-21
502,502,UPI,Failed,2024-07-21
503,503,Net Banking,Completed,2024-02-02
504,504,UPI,Completed,2024-03-07
505,505,Credit Card,Completed,2024-06-17
506,506,Debit Card,Failed,2026-01-06
507,507,Credit Card,Completed,2024-11-20
508,508,Debit Card,Completed,2025-07-31
509,509,Net Banking,Completed,2024-09-02
510,510,COD,Completed,2025-05-04
511,511,COD,Completed,2024-01-30
512,512,Debit Card,Completed,2024-05-29
513,513,UPI,Completed,2026-05-08
514,514,Net Banking,Completed,2025-10-24
515,515,Debit Card,Completed,2024-05-18
516,516,COD,Failed,2026-04-12
517,517,UPI,Completed,2025-12-27
518,518,Debit Card,Completed,2025-10-18
519,519,Debit Card,Completed,2025-04-29
520,520,Net Banking,Completed,2025-05-22
521,521,UPI,Failed,2024-10-25
522,522,COD,Completed,2024-04-25
523,523,Debit Card,Completed,2024-09-09
524,524,Debit Card,Completed,2024-09-25
525,525,COD,Completed,2024-11-11
526,526,Credit Card,Failed,2026-01-14
527,527,COD,Completed,2026-03-22
528,528,COD,Completed,2025-08-25
529,529,UPI,Completed,2026-03-05
530,530,UPI,Completed,2024-05-27
531,531,Debit Card,Completed,2025-11-27
532,532,Debit Card,Completed,2024-07-02
533,533,UPI,Completed,2024-02-26
534,534,Net Banking,Failed,2025-10-05
535,535,Debit Card,Completed,2024-01-03
536,536,Net Banking,Completed,2025-02-26
537,537,Credit Card,Completed,2025-12-04
538,538,UPI,Completed,2025-09-16
539,539,UPI,Failed,2024-04-05
540,540,COD,Completed,2024-08-31
541,541,Credit Card,Completed,2024-12-31
542,542,Net Banking,Completed,2024-12-06
543,543,UPI,Completed,2024-07-11
544,544,Net Banking,Completed,2024-04-16
545,545,UPI,Failed,2024-09-04
546,546,Credit Card,Completed,2024-05-13
547,547,Debit Card,Failed,2024-10-31
548,548,UPI,Completed,2024-07-22
549,549,UPI,Completed,2024-03-10
550,550,Net Banking,Failed,2026-05-27
551,551,COD,Failed,2025-11-19
552,552,COD,Failed,2024-04-03
553,553,UPI,Failed,2025-12-29
554,554,Debit Card,Completed,2026-04-22
555,555,UPI,Failed,2024-04-20
556,556,Credit Card,Completed,2024-02-26
557,557,Credit Card,Failed,2025-10-17
558,558,Net Banking,Completed,2025-12-21
559,559,Credit Card,Completed,2025-05-07
560,560,UPI,Completed,2025-11-20
561,561,Debit Card,Completed,2024-10-15
562,562,Net Banking,Failed,2025-07-26
563,563,Debit Card,Completed,2026-02-25
564,564,Net Banking,Failed,2025-06-26
565,565,Debit Card,Failed,2024-01-07
566,566,Debit Card,Completed,2026-01-02
567,567,UPI,Completed,2024-01-01
568,568,COD,Completed,2025-01-24
569,569,Debit Card,Completed,2026-02-12
570,570,UPI,Completed,2026-05-08
571,571,Net Banking,Completed,2024-08-03
572,572,UPI,Completed,2025-05-06
573,573,Credit Card,Completed,2025-02-22
574,574,Credit Card,Completed,2026-04-03
575,575,COD,Completed,2025-06-04
576,576,Net Banking,Completed,2025-10-14
577,577,COD,Completed,2024-12-13
578,578,Debit Card,Completed,2025-08-20
579,579,Debit Card,Failed,2026-04-09
580,580,Debit Card,Completed,2025-09-22
581,581,Credit Card,Completed,2025-07-15
582,582,Credit Card,Completed,2024-05-08
583,583,COD,Completed,2025-10-26
584,584,COD,Failed,2026-01-08
585,585,COD,Completed,2026-02-26
586,586,Net Banking,Failed,2024-10-31
587,587,Debit Card,Failed,2026-01-02
588,588,Debit Card,Completed,2025-12-18
589,589,Credit Card,Completed,2026-02-06
590,590,COD,Completed,2025-06-11
591,591,Net Banking,Completed,2024-08-01
592,592,Credit Card,Completed,2025-01-16
593,593,Credit Card,Completed,2025-07-21
594,594,COD,Completed,2026-02-07
595,595,Debit Card,Completed,2025-06-14
596,596,COD,Completed,2024-06-22
597,597,Net Banking,Completed,2026-05-21
598,598,Debit Card,Completed,2025-02-17
599,599,UPI,Completed,2024-04-19
600,600,Credit Card,Failed,2024-03-15
601,601,Net Banking,Completed,2024-01-07
602,602,Credit Card,Failed,2026-03-23
603,603,Credit Card,Completed,2024-11-28
604,604,COD,Failed,2026-05-05
605,605,Credit Card,Failed,2025-04-25
606,606,UPI,Completed,2024-05-23
607,607,Credit Card,Completed,2025-10-09
608,608,Net Banking,Failed,2026-02-25
609,609,Debit Card,Completed,2024-09-21
610,610,Credit Card,Failed,2024-07-04
611,611,UPI,Failed,2024-06-18
612,612,Net Banking,Failed,2024-10-08
613,613,COD,Completed,2024-12-04
614,614,Net Banking,Failed,2024-03-24
615,615,Net Banking,Failed,2024-08-27
616,616,COD,Failed,2025-08-13
617,617,Debit Card,Completed,2025-11-28
618,618,Debit Card,Completed,2025-08-31
619,619,Net Banking,Completed,2026-04-13
620,620,Credit Card,Failed,2024-02-20
621,621,COD,Completed,2026-01-12
622,622,Credit Card,Failed,2024-06-23
623,623,UPI,Completed,2024-05-31
624,624,UPI,Failed,2024-09-07
625,625,Net Banking,Failed,2025-09-11
626,626,Net Banking,Completed,2025-06-06
627,627,Credit Card,Failed,2026-02-25
628,628,Debit Card,Completed,2025-12-06
629,629,Debit Card,Completed,2025-12-24
630,630,UPI,Completed,2024-08-22
631,631,UPI,Completed,2025-03-30
632,632,COD,Completed,2025-03-10
633,633,Debit Card,Completed,2025-04-18
634,634,UPI,Completed,2024-03-26
635,635,Credit Card,Completed,2024-02-24
636,636,UPI,Completed,2025-06-23
637,637,Credit Card,Failed,2024-12-08
638,638,UPI,Completed,2024-12-27
639,639,UPI,Failed,2025-07-08
640,640,Credit Card,Completed,2024-08-10
641,641,Credit Card,Failed,2024-05-10
642,642,COD,Completed,2024-09-28
643,643,Debit Card,Completed,2025-12-26
644,644,Net Banking,Completed,2025-07-17
645,645,Net Banking,Completed,2024-08-17
646,646,Debit Card,Completed,2024-09-22
647,647,Credit Card,Failed,2025-11-17
648,648,Debit Card,Completed,2025-08-08
649,649,COD,Completed,2026-03-12
650,650,Net Banking,Completed,2024-03-13
651,651,UPI,Completed,2025-03-28
652,652,UPI,Completed,2025-02-22
653,653,UPI,Completed,2025-03-02
654,654,Debit Card,Completed,2025-04-30
655,655,Credit Card,Failed,2025-05-31
656,656,Net Banking,Completed,2025-03-02
657,657,Credit Card,Completed,2024-07-01
658,658,Credit Card,Completed,2024-12-16
659,659,COD,Completed,2024-05-27
660,660,Net Banking,Completed,2024-12-05
661,661,COD,Completed,2025-10-06
662,662,Credit Card,Completed,2026-02-21
663,663,Credit Card,Completed,2025-06-21
664,664,UPI,Completed,2026-04-13
665,665,Credit Card,Completed,2025-06-18
666,666,COD,Completed,2025-03-29
667,667,Credit Card,Failed,2024-10-13
668,668,UPI,Completed,2024-01-02
669,669,Credit Card,Completed,2026-01-29
670,670,COD,Completed,2025-01-25
671,671,Net Banking,Failed,2026-05-27
672,672,Credit Card,Failed,2025-03-21
673,673,Credit Card,Completed,2025-07-19
674,674,COD,Completed,2025-09-06
675,675,Debit Card,Completed,2025-05-09
676,676,Debit Card,Failed,2025-08-13
677,677,UPI,Completed,2026-01-20
678,678,COD,Failed,2024-05-02
679,679,Net Banking,Completed,2026-02-04
680,680,UPI,Failed,2025-05-23
681,681,Credit Card,Completed,2026-05-10
682,682,COD,Completed,2024-07-29
683,683,Credit Card,Completed,2025-05-29
684,684,Net Banking,Failed,2025-08-23
685,685,UPI,Completed,2024-04-02
686,686,Net Banking,Completed,2025-05-24
687,687,Debit Card,Failed,2025-09-05
688,688,COD,Completed,2025-01-30
689,689,Debit Card,Completed,2025-08-16
690,690,Credit Card,Failed,2025-08-14
691,691,UPI,Completed,2024-10-05
692,692,COD,Completed,2025-11-20
693,693,Credit Card,Completed,2025-07-27
694,694,Credit Card,Completed,2025-05-06
695,695,Debit Card,Completed,2025-12-25
696,696,UPI,Completed,2024-07-23
