order_id,customer_id,order_date,order_status,total_amount
111,547,2024-05-28,Delivered,93795.44
112,1755,2024-07-31,Processing,132760.65
113,3084,2024-12-24,Shipped,121975.9
114,3673,2025-09-09,Cancelled,367629.01
115,4652,2024-05-18,Cancelled,57058.09
116,2008,2024-06-16,Delivered,182794.12
117,1079,2025-06-09,Delivered,234641.75
118,83,2024-02-25,Processing,177845.88
119,4376,2026-01-01,Shipped,258611.3
120,4126,2024-04-21,Processing,154712.7
121,4751,2025-06-14,Delivered,220377.33
122,470,2024-11-17,Shipped,133332.87
123,4625,2025-07-26,Shipped,228320.83
124,3524,2024-07-24,Delivered,28835.8
125,873,2024-03-04,Processing,64057.37
126,811,2025-07-26,Delivered,98732.08
127,4989,2025-04-26,Shipped,191319.19
128,2410,2025-12-22,Processing,87714.6
129,4678,2024-05-04,Cancelled,117201.99
130,4792,2024-04-04,Shipped,94074.89
131,4293,2026-04-07,Processing,186965.52
132,1775,2024-07-22,Delivered,256556.5
133,4770,2025-01-02,Shipped,41827.03
134,3003,2024-05-13,Cancelled,148893.96
135,2208,2024-08-10,Processing,98255.94
136,4634,2026-05-26,Delivered,142879.09
137,4220,2024-05-31,Delivered,414148.59
138,1717,2025-04-27,Processing,10189.6
139,4002,2024-10-26,Cancelled,132241.03
140,3900,2024-05-28,Shipped,99966.01
141,1736,2024-02-24,Delivered,19546
142,2151,2024-07-22,Shipped,62463.08
143,4546,2025-09-14,Delivered,479399.24
144,2931,2026-04-27,Shipped,206511.4
145,3426,2024-09-30,Shipped,78359.31
146,4002,2025-08-16,Cancelled,131555.13
147,2711,2025-09-10,Delivered,176881.65
148,4721,2026-02-17,Processing,131771.15
149,1222,2025-12-01,Cancelled,136185.32
150,3051,2025-06-09,Shipped,150798.12
151,2365,2024-04-26,Shipped,69059.43
152,2059,2024-02-10,Processing,328493.71
153,4099,2025-12-03,Cancelled,100514.22
154,59,2024-09-25,Shipped,167011.81
155,547,2024-02-15,Delivered,142561.11
156,65,2024-05-29,Cancelled,40910.58
157,2221,2026-04-01,Processing,35454.56
158,833,2025-09-09,Delivered,223131.8
159,4428,2025-06-08,Shipped,38250.94
160,1886,2025-03-23,Delivered,1728.24
161,4799,2024-01-12,Processing,166177.2
162,2225,2025-03-13,Delivered,571889.36
163,2039,2024-07-28,Delivered,86793.72
164,1577,2024-04-23,Processing,25041.88
165,1501,2025-11-15,Processing,89012.82
166,309,2025-10-02,Cancelled,180545
167,3680,2025-05-16,Cancelled,140916.33
168,2533,2024-04-18,Processing,142049.98
169,2413,2025-10-07,Delivered,223158.06
170,4815,2026-05-14,Delivered,229415.95
171,3859,2025-07-01,Cancelled,124840.68
172,2649,2024-12-21,Processing,175702.83
173,1300,2024-11-19,Delivered,64162.4
174,3400,2025-04-11,Cancelled,177103.96
175,2808,2026-03-15,Shipped,90948.52
176,1989,2025-06-04,Delivered,160566.34
177,3581,2024-09-19,Cancelled,35766.14
178,3245,2025-09-12,Processing,187361.38
179,3789,2024-12-13,Shipped,315799.61
180,3001,2024-01-02,Cancelled,205036.55
181,3542,2025-09-14,Cancelled,197663.1
182,651,2024-07-28,Delivered,75101.1
183,2125,2024-04-21,Processing,253557.14
184,2834,2025-03-11,Cancelled,237874.3
185,4621,2025-11-17,Processing,189343.84
186,2066,2025-03-11,Processing,27248.29
187,2751,2025-02-02,Shipped,163093
188,2158,2024-05-08,Shipped,77524.05
189,1266,2025-06-27,Shipped,12361.02
190,4464,2025-12-27,Cancelled,76947.3
191,1638,2025-05-17,Cancelled,123031.52
192,2056,2024-11-06,Cancelled,301820.95
193,3450,2024-06-05,Shipped,110359.91
194,209,2025-04-30,Cancelled,66431.32
195,1997,2024-09-22,Shipped,300182.15
196,191,2026-01-05,Processing,56519.56
197,109,2024-09-13,Shipped,137320.42
198,4688,2025-10-09,Processing,107775.84
199,4300,2025-01-06,Delivered,276049.47
200,765,2024-03-31,Delivered,167028.24
201,2766,2026-04-26,Cancelled,142935.57
202,3243,2026-04-06,Shipped,143436.83
203,3044,2026-02-14,Cancelled,74510.04
204,2410,2024-08-03,Shipped,151841.94
205,1396,2026-02-09,Shipped,18553.14
206,822,2024-07-20,Shipped,160742.6
207,2613,2024-08-14,Cancelled,124265.4
208,3493,2026-01-22,Processing,26231.16
209,4907,2024-08-25,Cancelled,251985.08
210,3990,2026-05-21,Delivered,31092.4
211,755,2025-07-19,Delivered,165906.96
212,1475,2026-03-13,Delivered,64675.57
213,1469,2026-03-30,Delivered,141954.7
214,3566,2024-01-10,Shipped,219224.1
215,4227,2024-04-15,Shipped,80798.86
216,2784,2025-09-14,Processing,21439.97
217,4450,2024-09-06,Shipped,99467.63
218,2552,2026-05-12,Delivered,249166.29
219,4770,2025-01-23,Shipped,12268.63
220,292,2024-05-31,Cancelled,189859.1
221,3414,2025-10-22,Cancelled,192912.2
222,3221,2025-07-11,Processing,209862.11
223,604,2024-04-09,Processing,175870.45
224,4152,2024-11-06,Cancelled,108139.29
225,1375,2024-07-16,Delivered,10334.25
226,98,2024-05-05,Processing,119690.9
227,2200,2024-04-30,Shipped,167132.36
228,1732,2026-01-13,Cancelled,344761.9
229,255,2025-02-03,Cancelled,68096.03
230,3306,2024-02-11,Processing,208161.68
231,109,2024-05-14,Cancelled,190747.84
232,1001,2024-01-25,Processing,189579.4
233,4442,2024-08-30,Processing,116894.58
234,700,2025-12-03,Delivered,254781.63
235,4243,2025-05-23,Processing,400.41
236,274,2025-06-03,Processing,195263.81
237,4588,2024-09-19,Shipped,280396.97
238,3205,2026-04-19,Cancelled,50775.87
239,4092,2024-05-25,Shipped,47143.04
240,2547,2024-05-18,Shipped,33388.73
241,2751,2024-04-27,Delivered,99049.18
242,3807,2024-07-06,Processing,127426.12
243,2443,2025-01-20,Cancelled,127912.05
244,1310,2024-10-04,Cancelled,131403.49
245,2687,2025-04-15,Cancelled,21926.75
246,1688,2025-01-30,Cancelled,125351.03
247,3503,2025-05-05,Delivered,391766.97
248,4689,2024-09-15,Delivered,172506.03
249,664,2024-07-12,Cancelled,182826.36
250,1824,2026-01-06,Delivered,63028.58
251,4469,2024-03-03,Shipped,68924.46
252,2363,2024-08-24,Cancelled,136993.3
253,892,2024-09-26,Processing,194094.15
254,4992,2025-02-06,Processing,170086.1
255,3189,2025-02-01,Processing,135451.17
256,738,2024-11-18,Cancelled,178531.58
257,3350,2026-02-19,Delivered,213862.25
258,630,2024-08-29,Delivered,176507.68
259,3981,2024-10-29,Processing,77030.32
260,2222,2025-12-06,Shipped,12424.54
261,1720,2024-01-31,Processing,209085.09
262,603,2025-12-09,Cancelled,402843.49
263,1627,2024-09-17,Delivered,288868.12
264,2399,2024-12-02,Shipped,71706.69
265,2589,2026-02-02,Delivered,119324.69
266,954,2025-08-18,Shipped,220002.11
267,3397,2024-10-31,Shipped,123053.1
268,3561,2024-04-23,Delivered,85452.79
269,2167,2026-02-19,Shipped,275729.46
270,3496,2024-01-01,Processing,190615.89
271,1560,2025-10-17,Processing,87745.42
272,2294,2025-09-07,Cancelled,358314.63
273,1597,2025-04-14,Delivered,206842.21
274,4793,2026-01-19,Processing,53118.44
275,3651,2024-05-24,Delivered,62811.47
276,639,2024-03-20,Cancelled,96352.29
277,1849,2025-01-14,Shipped,129816.38
278,2471,2025-01-04,Cancelled,195156.11
279,4273,2025-01-04,Delivered,151472.87
280,4672,2025-09-20,Shipped,311597.31
281,4759,2024-10-29,Cancelled,789.16
282,56,2024-11-08,Processing,52131.24
283,2056,2026-04-01,Processing,358508.75
284,2371,2024-09-15,Cancelled,17378.66
285,2323,2024-03-20,Cancelled,403483.59
286,2087,2025-08-22,Cancelled,161901.23
287,770,2025-09-05,Cancelled,410083.01
288,747,2024-07-22,Shipped,12586.83
289,909,2025-05-06,Shipped,121429.23
290,1862,2026-02-21,Shipped,91660.9
291,2846,2024-10-02,Cancelled,140544.38
292,2951,2024-06-24,Cancelled,208544.8
293,2722,2025-05-06,Processing,206055.36
294,3900,2025-10-19,Shipped,190439.79
295,3793,2025-02-27,Processing,81661.42
296,784,2025-12-14,Delivered,67467.36
297,2416,2024-12-18,Shipped,384270.76
298,3533,2026-01-17,Cancelled,7411.88
299,1231,2024-02-29,Shipped,128986.68
300,3788,2025-09-30,Delivered,108482.82
301,2535,2025-05-05,Delivered,95705.34
302,3394,2026-03-25,Delivered,349455.79
303,3838,2025-10-31,Delivered,272606.95
304,2066,2025-08-17,Delivered,104594.1
305,4574,2025-09-09,Cancelled,260694.48
306,4924,2025-01-01,Delivered,25347.36
307,371,2025-11-14,Delivered,248802.13
308,1378,2025-11-19,Cancelled,76032.78
309,2791,2025-07-26,Shipped,51873.41
310,2129,2025-03-08,Delivered,141891.16
311,4179,2024-07-19,Delivered,43099.51
312,1425,2024-02-16,Processing,101116.03
313,2580,2025-04-21,Delivered,188543.7
314,2952,2024-11-20,Shipped,26861.79
315,3442,2024-06-27,Cancelled,160060.6
316,485,2024-06-04,Cancelled,91565.75
317,1635,2024-05-26,Processing,181540.55
318,4601,2024-05-11,Shipped,147532.44
319,874,2024-08-30,Shipped,50146.32
320,720,2025-10-11,Delivered,105794.52
321,4568,2024-11-23,Cancelled,116996.34
322,2107,2025-07-16,Delivered,104151.66
323,4406,2024-07-14,Shipped,32722.68
324,1579,2024-09-28,Shipped,96375.05
325,574,2026-05-19,Shipped,91475.47
326,2200,2026-05-24,Shipped,126982.04
327,363,2025-01-30,Shipped,54506.82
328,2249,2024-06-29,Shipped,92444.2
329,275,2024-07-02,Cancelled,239561.48
330,4279,2024-10-07,Processing,185284.92
331,1200,2025-07-21,Processing,26954.78
332,16,2024-04-13,Delivered,165473.13
333,4369,2025-10-10,Processing,45368.4
334,2496,2024-03-12,Processing,225998.26
335,3826,2024-07-18,Cancelled,34364.26
336,1904,2024-01-29,Processing,174628.69
337,4596,2025-08-21,Processing,53673.66
338,2239,2025-08-08,Processing,303160.51
339,349,2024-01-04,Delivered,92538
340,3929,2024-04-19,Delivered,3573.4
341,1678,2025-04-10,Cancelled,303685.77
342,4770,2024-01-23,Delivered,126556.17
343,3767,2025-01-18,Shipped,22524.46
344,570,2025-09-22,Processing,15940.26
345,3996,2024-02-29,Cancelled,57985.72
346,1809,2024-05-23,Delivered,113793.66
347,1218,2024-04-23,Processing,20343.82
348,1884,2025-04-26,Shipped,163462.47
349,782,2025-11-02,Cancelled,167831.65
350,2974,2026-01-08,Delivered,173839.97
351,1897,2025-07-05,Shipped,178819.44
352,916,2026-01-18,Shipped,170785.93
353,414,2024-10-05,Cancelled,43706.07
354,1492,2024-11-27,Cancelled,251893.14
355,123,2025-10-17,Cancelled,201361.44
356,137,2025-03-19,Shipped,12388.06
357,1971,2024-03-19,Cancelled,274783.29
358,2366,2026-04-04,Processing,35573.3
359,1927,2024-04-04,Processing,180669.73
360,875,2025-06-17,Delivered,64331.52
361,3540,2026-02-12,Processing,51951.22
362,3149,2025-09-22,Shipped,69267.71
363,4308,2024-12-18,Processing,235951.95
364,3965,2024-01-12,Cancelled,60597.15
365,1889,2026-05-17,Shipped,180427.92
366,1697,2026-03-06,Shipped,292473.82
367,266,2025-04-24,Processing,78378.7
368,3005,2026-01-20,Delivered,32688.64
369,2243,2024-08-23,Shipped,40368.03
370,3563,2025-06-16,Processing,24127.96
371,2471,2025-04-05,Shipped,122063.76
372,331,2025-02-24,Delivered,249333.41
373,1174,2024-12-19,Shipped,83960.9
374,3412,2025-09-18,Shipped,40863.5
375,2997,2024-11-05,Processing,150760.53
376,4545,2025-06-23,Processing,89024.76
377,500,2025-10-27,Shipped,101082.39
378,2128,2024-07-30,Processing,12231.92
379,2915,2026-03-11,Shipped,201540.59
380,2100,2025-07-04,Cancelled,89266.89
381,3795,2024-08-06,Processing,25531.02
382,4330,2025-03-17,Cancelled,87183.36
383,4441,2025-07-18,Delivered,231003.04
384,4952,2025-09-26,Delivered,251677.29
385,517,2024-06-28,Processing,127966.77
386,2211,2024-01-25,Cancelled,52612.04
387,4204,2024-09-18,Cancelled,130603.92
388,3723,2024-12-05,Delivered,107595.51
389,4053,2025-04-25,Shipped,362004.9
390,2652,2024-07-17,Shipped,173613.9
391,4120,2024-01-02,Cancelled,24815.13
392,2479,2026-01-14,Delivered,77241.55
393,3010,2024-10-18,Shipped,60189.7
394,1268,2026-02-24,Processing,73817.88
395,2131,2026-04-18,Delivered,167305.55
396,3448,2025-10-08,Processing,270687.09
397,269,2024-03-14,Processing,198451.63
398,3198,2024-04-21,Shipped,185722.8
399,1171,2024-05-21,Cancelled,395605.91
400,211,2024-03-05,Cancelled,15215.63
401,2614,2024-11-30,Processing,122225.14
402,1081,2025-06-08,Delivered,194219.55
403,2154,2026-01-23,Cancelled,56934.81
404,861,2026-01-05,Cancelled,361204.13
405,4470,2025-09-22,Delivered,38318.94
406,1327,2024-11-08,Cancelled,48414.88
407,3152,2025-06-10,Processing,134773.05
408,2761,2024-11-27,Shipped,168099.88
409,4899,2025-11-14,Cancelled,65446.23
410,952,2026-05-12,Shipped,204184.59
411,749,2024-04-04,Cancelled,131259.6
412,1839,2024-01-05,Cancelled,122206.24
413,1374,2024-05-02,Cancelled,445319.63
414,4843,2025-11-30,Delivered,178883.65
415,4583,2025-11-09,Cancelled,188325.13
416,2674,2025-08-09,Shipped,325862.25
417,4752,2025-08-18,Processing,10846.62
418,2352,2025-06-29,Processing,84490.78
419,4904,2026-05-17,Delivered,110849.34
420,4789,2024-08-11,Processing,438445.23
421,4120,2024-02-09,Processing,96290.04
422,2307,2024-11-07,Delivered,350470.61
423,973,2024-12-04,Processing,267825.4
424,3810,2025-03-11,Shipped,313388.4
425,4907,2024-09-21,Delivered,9961.66
426,4983,2026-02-17,Cancelled,13599.64
427,76,2025-01-26,Processing,112346.35
428,1294,2026-01-09,Delivered,185091.43
429,1906,2025-05-02,Cancelled,135157.36
430,2315,2025-06-10,Cancelled,268297.62
431,416,2025-08-04,Processing,384839.85
432,2806,2026-01-30,Cancelled,124025.95
433,1323,2025-09-01,Shipped,232455.28
434,950,2024-01-10,Shipped,247303.04
435,3120,2026-01-27,Processing,99231.28
436,4671,2025-10-08,Delivered,110419.4
437,4350,2026-04-20,Processing,242474.47
438,3672,2025-01-22,Delivered,64415.45
439,428,2026-04-10,Shipped,94331.1
440,277,2026-01-15,Delivered,140554.56
441,582,2025-09-15,Shipped,113389.99
442,2570,2024-01-27,Processing,161210.67
443,3650,2025-07-14,Cancelled,174831.14
444,2450,2024-08-23,Delivered,59111.55
445,4000,2024-03-30,Cancelled,245691.52
446,2122,2024-03-17,Shipped,95044.12
447,3602,2025-10-16,Cancelled,37597.78
448,4075,2025-04-06,Shipped,308120.55
449,1221,2024-01-31,Shipped,345386.71
450,2994,2026-02-20,Processing,119446.23
451,2073,2025-11-27,Processing,208125.92
452,4724,2025-01-10,Cancelled,34936.45
453,63,2025-04-26,Processing,183294.57
454,1680,2025-07-11,Shipped,166259.12
455,1755,2026-02-10,Cancelled,123279.11
456,105,2025-07-31,Cancelled,28377.06
457,2548,2024-12-24,Delivered,370377.86
458,3603,2026-01-05,Cancelled,113831.61
459,392,2026-01-20,Delivered,247689.74
460,2523,2024-03-19,Processing,214990.23
461,3266,2026-02-08,Processing,26403.3
462,1276,2024-10-21,Processing,304440.95
463,4859,2025-04-08,Shipped,247576.15
464,1695,2024-03-24,Processing,68752.03
465,1659,2025-01-31,Cancelled,247561.92
466,1546,2026-04-16,Cancelled,155677.53
467,1869,2024-05-17,Cancelled,82684.03
468,153,2024-11-27,Cancelled,226839.61
469,2824,2025-11-26,Shipped,104173.95
470,3337,2025-04-15,Shipped,110098.84
471,1654,2026-01-29,Cancelled,179102.44
472,4270,2025-10-05,Processing,131643.02
473,901,2025-06-10,Processing,117035.85
474,798,2025-05-12,Processing,158175.54
475,2940,2024-12-26,Processing,241101.42
476,2165,2024-05-11,Processing,124207.95
477,1212,2025-01-07,Delivered,194815
478,3707,2026-04-25,Shipped,4720.71
479,1458,2024-12-10,Shipped,87927.39
480,863,2024-03-10,Processing,1830.57
481,4927,2025-04-17,Delivered,237329.96
482,331,2024-08-04,Delivered,314871.77
483,3059,2025-10-10,Processing,23443.9
484,4540,2025-11-30,Delivered,382766.95
485,892,2025-09-02,Delivered,210139.3
486,489,2024-09-12,Cancelled,130045.56
487,4391,2024-05-07,Shipped,96453.92
488,2836,2024-12-30,Processing,213967.11
489,2882,2024-05-06,Shipped,43808.46
490,3072,2024-09-17,Cancelled,188083.03
491,1926,2024-12-22,Cancelled,117872.59
492,4121,2025-09-25,Shipped,54470.74
493,4696,2024-01-21,Cancelled,39609.62
494,2884,2024-07-03,Cancelled,172161.32
495,122,2025-05-08,Processing,193825.95
496,2529,2026-03-28,Processing,3603.78
497,2498,2024-11-01,Cancelled,74512.86
498,1212,2025-01-28,Processing,209107.01
499,222,2024-02-03,Shipped,399482.95
500,1727,2024-02-11,Delivered,202537.95
501,901,2024-12-21,Delivered,129418
502,2543,2024-07-21,Cancelled,219254.23
503,1494,2024-02-02,Shipped,254979.89
504,1214,2024-03-07,Processing,96429.32
505,1381,2024-06-17,Processing,191959.02
506,4422,2026-01-06,Cancelled,3470.44
507,4444,2024-11-20,Delivered,259902.42
508,2333,2025-07-31,Delivered,154306.66
509,4498,2024-09-02,Delivered,329774.45
510,1827,2025-05-04,Delivered,114295.04
511,569,2024-01-30,Processing,343365
512,1070,2024-05-29,Shipped,144217.26
513,4189,2026-05-08,Delivered,89847.2
514,3634,2025-10-24,Processing,154544.06
515,462,2024-05-18,Delivered,128649.24
516,4388,2026-04-12,Cancelled,125031.71
517,4135,2025-12-27,Delivered,110213.66
518,2706,2025-10-18,Processing,73674.74
519,2951,2025-04-29,Processing,170180.92
520,4907,2025-05-22,Delivered,216780.22
521,1876,2024-10-25,Cancelled,87565.32
522,1126,2024-04-25,Shipped,86155.42
523,1585,2024-09-09,Shipped,61442.48
524,4064,2024-09-25,Shipped,63612.42
525,2471,2024-11-11,Delivered,80468.79
526,3619,2026-01-14,Cancelled,145575.84
527,3971,2026-03-22,Shipped,93210.34
528,4091,2025-08-25,Delivered,173718.13
529,2303,2026-03-05,Processing,278788.03
530,2778,2024-05-27,Processing,247423.27
531,707,2025-11-27,Delivered,264514.19
532,367,2024-07-02,Processing,198914.22
533,1810,2024-02-26,Delivered,432757.01
534,955,2025-10-05,Cancelled,281827.96
535,1476,2024-01-03,Shipped,60404.2
536,3054,2025-02-26,Processing,318102.61
537,2085,2025-12-04,Shipped,103709.21
538,3623,2025-09-16,Processing,194024.57
539,3935,2024-04-05,Cancelled,231291.74
540,1978,2024-08-31,Delivered,30832.09
541,301,2024-12-31,Shipped,250073.15
542,660,2024-12-06,Delivered,266418.11
543,538,2024-07-11,Delivered,285916.96
544,2398,2024-04-16,Delivered,368891.96
545,3808,2024-09-04,Cancelled,132414.82
546,1008,2024-05-13,Delivered,119456.72
547,4700,2024-10-31,Cancelled,304819.87
548,577,2024-07-22,Delivered,436969.77
549,2136,2024-03-10,Delivered,70333.72
550,535,2026-05-27,Cancelled,163720.44
551,2704,2025-11-19,Cancelled,31475.84
552,4812,2024-04-03,Cancelled,6494.1
553,808,2025-12-29,Cancelled,159797.96
554,3544,2026-04-22,Delivered,264603.61
555,1237,2024-04-20,Cancelled,431671.2
556,3112,2024-02-26,Delivered,125078.52
557,2382,2025-10-17,Cancelled,139929.45
558,1719,2025-12-21,Processing,253170.24
559,2715,2025-05-07,Processing,82442.09
560,2635,2025-11-20,Processing,220599.15
561,3289,2024-10-15,Shipped,225423.78
562,255,2025-07-26,Cancelled,227610.4
563,3281,2026-02-25,Shipped,97345.38
564,3729,2025-06-26,Cancelled,4849.69
565,2651,2024-01-07,Cancelled,103341.92
566,1530,2026-01-02,Processing,205057.57
567,1658,2024-01-01,Shipped,69018.76
568,33,2025-01-24,Shipped,78515.55
569,72,2026-02-12,Processing,141094.57
570,2132,2026-05-08,Shipped,178581
571,1567,2024-08-03,Delivered,123299.26
572,4101,2025-05-06,Processing,52799.86
573,4113,2025-02-22,Processing,281674.84
574,2898,2026-04-03,Shipped,123409.28
575,725,2025-06-04,Delivered,147187.96
576,150,2025-10-14,Shipped,175271.61
577,1549,2024-12-13,Processing,50734.08
578,901,2025-08-20,Delivered,20975.01
579,4683,2026-04-09,Cancelled,108336.23
580,3069,2025-09-22,Shipped,60556.05
581,183,2025-07-15,Shipped,161276.52
582,385,2024-05-08,Shipped,63016.81
583,521,2025-10-26,Shipped,97381.68
584,72,2026-01-08,Cancelled,155391.88
585,3404,2026-02-26,Shipped,198800.13
586,3163,2024-10-31,Cancelled,278195.39
587,3114,2026-01-02,Cancelled,185292.56
588,4819,2025-12-18,Processing,104824.68
589,4705,2026-02-06,Processing,212492.33
590,648,2025-06-11,Processing,42619.24
591,2660,2024-08-01,Shipped,183601.24
592,4194,2025-01-16,Shipped,214083.68
593,33,2025-07-21,Shipped,92919.57
594,1132,2026-02-07,Delivered,126758.37
595,4492,2025-06-14,Processing,341773.64
596,1058,2024-06-22,Shipped,10129.96
597,3158,2026-05-21,Delivered,28300.6
598,4322,2025-02-17,Delivered,114508.5
599,1006,2024-04-19,Processing,324040.5
600,949,2024-03-15,Cancelled,6333.34
601,2995,2024-01-07,Processing,114549.22
602,1737,2026-03-23,Cancelled,71642.49
603,466,2024-11-28,Shipped,118414.08
604,679,2026-05-05,Cancelled,347630
605,4338,2025-04-25,Cancelled,80349.48
606,393,2024-05-23,Delivered,162334.68
607,1145,2025-10-09,Shipped,184217.52
608,3700,2026-02-25,Cancelled,53687.47
609,4451,2024-09-21,Shipped,250174.35
610,4910,2024-07-04,Cancelled,273899.4
611,1463,2024-06-18,Cancelled,136871.32
612,3896,2024-10-08,Cancelled,204651.52
613,825,2024-12-04,Shipped,187493.27
614,3502,2024-03-24,Cancelled,332314.66
615,3233,2024-08-27,Cancelled,55702.69
616,1525,2025-08-13,Cancelled,115833.04
617,2757,2025-11-28,Processing,229467.21
618,3265,2025-08-31,Shipped,34039.82
619,4298,2026-04-13,Processing,236275.34
620,1243,2024-02-20,Cancelled,150056.9
621,4079,2026-01-12,Processing,151909.25
622,4936,2024-06-23,Cancelled,1414.78
623,2824,2024-05-31,Delivered,253867.75
624,2778,2024-09-07,Cancelled,49942.14
625,1706,2025-09-11,Cancelled,324759.68
626,1957,2025-06-06,Shipped,68083.03
627,2779,2026-02-25,Cancelled,94523.76
628,2096,2025-12-06,Processing,206686.47
629,2039,2025-12-24,Shipped,145104.91
630,1369,2024-08-22,Shipped,278332.12
631,2909,2025-03-30,Delivered,275813.58
632,3196,2025-03-10,Processing,33840.06
633,3158,2025-04-18,Shipped,184378.49
634,1874,2024-03-26,Delivered,249744
635,2054,2024-02-24,Shipped,86686.98
636,2298,2025-06-23,Shipped,218585.6
637,3449,2024-12-08,Cancelled,164142.25
638,358,2024-12-27,Processing,216131.2
639,3684,2025-07-08,Cancelled,26466.1
640,1193,2024-08-10,Delivered,416348.62
